treatment_profile,optimization,comparison_count,changed_context_groups,joint_treatment_count,core_mnemonic_changed_count,core_normalized_operation_changed_count,core_exact_operation_changed_count,core_encoding_changed_count,core_physical_register_changed_count,core_renumber_only_count,core_register_class_changed_count,core_alias_pattern_changed_count,target_live_registers_changed_count,kernel_normalized_sequence_changed_count,kernel_mnemonic_sequence_changed_count,kernel_instruction_count_changed_count,kernel_peak_live_registers_changed_count,kernel_referenced_register_set_changed_count,kernel_local_memory_indicators_changed_count
commit_completion,O0,1152,completion,0,0,0,0,0,0,0,0,0,1152,1152,1152,1152,1152,1084,0
commit_completion,O1,1152,completion,0,0,0,0,0,0,0,0,0,0,1152,1152,1152,0,0,0
commit_completion,O2,1152,completion,0,0,0,0,0,0,0,0,0,0,1152,1152,1152,0,0,0
commit_completion,O3,1152,completion,0,0,0,0,0,0,0,0,0,0,1152,1152,1152,0,0,0
derived_producers,O0,1152,operand_producers,0,0,0,0,0,0,0,0,0,0,1152,1152,852,108,556,0
derived_producers,O1,1152,operand_producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derived_producers,O2,1152,operand_producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derived_producers,O3,1152,operand_producers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enable_false,O0,1152,enable_input_d,0,0,0,0,0,0,0,0,0,0,1152,1152,300,12,80,0
enable_false,O1,1152,enable_input_d,0,0,1152,1152,1152,1152,0,1152,1152,1152,1152,1152,96,1152,1152,0
enable_false,O2,1152,enable_input_d,0,0,1152,1152,1152,1152,0,1152,1152,1152,1152,1152,96,1152,1152,0
enable_false,O3,1152,enable_input_d,0,0,1152,1152,1152,1152,0,1152,1152,1152,1152,1152,96,1152,1152,0
enable_true_mask_ones,O0,208,disable_output_lane+enable_input_d,208,0,0,0,0,0,0,0,0,0,208,208,64,12,20,0
enable_true_mask_ones,O0,944,enable_input_d,0,0,0,0,0,0,0,0,0,0,944,944,236,0,60,0
enable_true_mask_ones,O1,208,disable_output_lane+enable_input_d,208,0,208,208,208,208,0,208,208,208,208,208,136,208,208,0
enable_true_mask_ones,O1,944,enable_input_d,0,0,944,944,944,944,0,944,944,944,944,944,96,944,944,0
enable_true_mask_ones,O2,208,disable_output_lane+enable_input_d,208,0,208,208,208,208,0,208,208,208,208,208,136,208,208,0
enable_true_mask_ones,O2,944,enable_input_d,0,0,944,944,944,944,0,944,944,944,944,944,96,944,944,0
enable_true_mask_ones,O3,208,disable_output_lane+enable_input_d,208,0,208,208,208,208,0,208,208,208,208,208,136,208,208,0
enable_true_mask_ones,O3,944,enable_input_d,0,0,944,944,944,944,0,944,944,944,944,944,96,944,944,0
guard_negative,O0,1152,target_guard,0,0,0,0,0,0,0,0,0,496,1152,1152,1144,960,1004,0
guard_negative,O1,1152,target_guard,0,0,352,448,1152,448,96,352,352,496,1152,1152,980,668,824,0
guard_negative,O2,1152,target_guard,0,0,352,508,1152,508,156,352,352,496,1152,1152,824,496,824,0
guard_negative,O3,1152,target_guard,0,0,352,508,1152,508,156,352,352,496,1152,1152,824,496,824,0
guard_positive,O0,1152,target_guard,0,0,0,0,0,0,0,0,0,496,1152,1152,1152,960,1004,0
guard_positive,O1,1152,target_guard,0,0,352,448,1152,448,96,352,352,496,1152,1152,980,668,824,0
guard_positive,O2,1152,target_guard,0,0,352,508,1152,508,156,352,352,496,1152,1152,824,496,824,0
guard_positive,O3,1152,target_guard,0,0,352,508,1152,508,156,352,352,496,1152,1152,824,496,824,0
lane0_issuer,O0,1152,issuer,0,0,0,0,0,0,0,0,0,0,1152,1152,1024,700,956,0
lane0_issuer,O1,1152,issuer,0,0,0,168,1152,168,168,0,0,1152,1152,1152,592,1152,1152,0
lane0_issuer,O2,1152,issuer,0,0,0,168,1152,168,168,0,0,1152,1152,1152,592,1152,1152,0
lane0_issuer,O3,1152,issuer,0,0,0,168,1152,168,168,0,0,1152,1152,1152,592,1152,1152,0
